[09/01/2022 | 23:31:36] - DEBUG - arquivo (09-01-2022.txt) criado com sucesso!

[09/01/2022 | 23:31:36] - DEBUG - inicializando, para encerrar a aplicação pressione (alt+f4)
[09/01/2022 | 23:31:36] - WARNING - 1 desabilitado!
[09/01/2022 | 23:31:36] - WARNING - 3 desabilitado!
[09/01/2022 | 23:31:36] - WARNING - 4 desabilitado!
[09/01/2022 | 23:31:36] - WARNING - 5 desabilitado!
[09/01/2022 | 23:31:36] - WARNING - ULR inválida está sendo executada (chrome://whats-new/?auto=true) , número de tentativas: (1)
[09/01/2022 | 23:31:36] - WARNING - ULR inválida está sendo executada (chrome://whats-new/?auto=true) , número de tentativas: (2)
[09/01/2022 | 23:31:36] - WARNING - ULR inválida está sendo executada (chrome://whats-new/?auto=true) , número de tentativas: (3)
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
[09/01/2022 | 23:31:36] - WARNING - após (3) tentativas a aplicação não conseguiu resumir o conteúdo, a thread será reiniciada.
